Title,URL,Index
Trump revises travel ban restrictions,http://nypost.com/2017/09/22/trump-revises-travel-ban-restrictions/,1
"Trump expands travel ban to include North Korea, Venezuela and Chad",http://nypost.com/2017/09/24/trump-expands-travel-ban-to-include-north-korea-venezuela-and-chad/,2
Trump mulling new travel ban after recent London attack,http://nypost.com/2017/09/17/trump-mulling-new-travel-ban-after-recent-london-attack/,3
Supreme Court temporarily restores Trump’s travel ban,http://nypost.com/2017/09/11/supreme-court-blocks-appeals-court-ruling-that-limits-trumps-travel-ban/,4
"ACLU, DOJ settle legal challenge against Trump travel ban",http://nypost.com/2017/08/29/aclu-doj-settle-legal-challenge-against-trump-travel-ban/,5
What you need to know about Trump’s travel ban,http://nypost.com/2017/06/27/what-you-need-to-know-about-trumps-travel-ban/,6
Supreme Court cancels arguments over Trump’s travel ban,http://nypost.com/2017/09/25/supreme-court-cancels-arguments-over-trumps-travel-ban/,7
Federal judge denies Hawaii’s motion on Trump travel ban,http://nypost.com/2017/07/06/federal-judge-denies-hawaiis-motion-on-trump-travel-ban/,8
Trump applauds Supreme Court decision over travel ban,http://nypost.com/2017/06/26/trump-applauds-supreme-court-decision-over-travel-ban/,9
Trump’s revised travel ban officially goes into effect,http://nypost.com/2017/06/29/trumps-revised-travel-ban-officially-goes-into-effect/,10
Supreme Court partially reinstates Trump’s travel ban until it hears case,http://nypost.com/2017/06/26/supreme-court-agrees-to-review-trumps-travel-ban/,11
Judge expands list of relatives exempted from Trump travel ban,http://nypost.com/2017/07/14/judge-expands-list-of-relatives-exempted-from-trump-travel-ban/,12
Gorsuch would have supported Trump’s full travel ban,http://nypost.com/2017/06/26/gorsuch-would-have-supported-trumps-full-travel-ban/,13
Trump rips appeals court after latest travel ban ruling,http://nypost.com/2017/06/13/trump-rips-appeals-court-and-media-in-morning-tweetstorm/,14
Trump’s travel ban is hitting luxury hotels the hardest,http://nypost.com/2017/04/12/trumps-travel-ban-is-hitting-luxury-hotels-the-hardest/,15
