K,WC-SSD,SC
2.0,3159.46496826,0.0
3.0,3120.40606617,0.0
4.0,3119.65082501,0.0
5.0,2987.01252312,0.0
6.0,2978.99744905,0.0
7.0,3138.50588521,0.0
8.0,2925.27626114,0.0
9.0,2900.91956426,0.0
10.0,2886.85011713,0.0
11.0,2877.65623844,0.0
12.0,2860.99686427,0.0
13.0,2837.2310212,0.0
14.0,2805.01012894,0.0
15.0,2808.88578902,0.0
16.0,2782.46034009,0.0
17.0,2774.72448659,0.0
18.0,2782.38072258,0.0
19.0,2746.33997745,0.0
20.0,2747.67283779,0.0
21.0,2756.64731834,0.0
22.0,2976.21809697,0.0
23.0,2721.41398562,0.0
24.0,2695.48364554,0.0
25.0,2675.83108361,0.0
26.0,2667.84917714,0.0
27.0,2684.65039432,0.0
28.0,2671.14481078,0.0
29.0,2650.71742679,0.0
30.0,2772.03957007,0.0
31.0,2612.17679338,0.0
32.0,2642.06720384,0.0
33.0,2624.66073076,0.0
34.0,2851.27081234,0.0
35.0,2598.07823146,0.0
36.0,2617.71190424,0.0
37.0,2589.53441093,0.0
38.0,2580.16734105,0.0
39.0,2555.42731277,0.0
40.0,2550.56249477,0.0
41.0,2565.47938823,0.0
42.0,2554.44570633,0.0
43.0,2527.06299928,0.0
44.0,2531.53109601,0.0
45.0,2525.23406129,0.0
46.0,2492.53295103,0.0
47.0,2502.02007694,0.0
48.0,2512.61591993,0.0
49.0,2493.3987297,0.0
50.0,2502.9619562,0.0
