K,WC-SSD,SC
2,786.8478924,0.03159212
3,755.5228495,0.026721527
4,705.699935,0.020551426
5,704.0612586,-0.044009673
6,701.2896663,0.023190473
7,697.0895431,0.029044597
8,695.4724212,0.02781427
9,693.7412615,0.02278666
10,693.5431458,0.021270009
11,692.4882575,0.016886467
12,692.8910138,0.015564945
13,691.1741003,0.003116012
14,691.9627892,0.027249058
15,691.1946883,0.017557074
16,690.7328247,0.019773323
17,688.2628075,0.029530235
18,685.9596996,0.031837347
19,683.991773,0.024274001
20,684.0756482,0.003567485
21,684.8470518,0.010285607
22,683.7679534,0.021694193
23,681.4252096,0.017607013
24,680.6754071,0.000174987
25,679.4343646,0.01040203
26,679.9994286,0.010915806
27,677.2309585,-0.031445098
28,677.1157658,0.004211613
29,678.2816634,0.021002025
30,676.6143309,0.010842425
