K,Mean-WC-SSD,STD-WC-SSD
2.0,3248.61166065,27.8489159793
3.0,3189.70213226,27.5233987388
4.0,3134.18929123,28.4381555249
5.0,3095.48639471,19.3243614052
6.0,3076.65830025,16.7765655917
7.0,3052.02761386,8.25826681967
8.0,3035.15995329,15.2777863952
9.0,3017.10300906,8.01602885785
10.0,3002.45256613,13.0276621243
11.0,2988.98383129,7.34882235361
12.0,2975.66752977,9.093276121
13.0,2961.29675935,9.70863676196
14.0,2949.6191875,9.06236317086
15.0,2939.25742172,8.35898734828
16.0,2928.42512472,8.72686039534
17.0,2914.94530104,9.76784639087
18.0,2905.87970539,10.9217207919
19.0,2891.75698347,9.46676406031
20.0,2881.89239352,10.2530436336
21.0,2869.47552591,10.0679407265
22.0,2855.51800496,10.2966069776
23.0,2847.3017426,9.49533238901
24.0,2839.03910622,12.4225046109
25.0,2830.93252333,10.9978373245
26.0,2818.26300642,9.42926127377
27.0,2812.23350634,7.87545301917
28.0,2800.29764392,8.95786330084
29.0,2794.6569569,12.5064074429
30.0,2786.19376291,10.3201456031
31.0,2772.08464086,11.1062922551
32.0,2767.95896069,12.067330601
33.0,2760.25811078,10.5649432274
34.0,2755.55114373,10.7535979101
35.0,2745.6377951,9.43655166782
36.0,2735.26856935,11.4280835643
37.0,2730.31140135,12.2464319114
38.0,2723.16242154,11.8748722477
39.0,2718.67525071,10.1694996613
40.0,2710.06691102,10.260770023
41.0,2713.04807262,43.3486956068
42.0,2695.77333841,10.2671071558
43.0,2696.62918173,38.9612569211
44.0,2691.21078366,38.5218612499
45.0,2676.04117355,11.5113978059
46.0,2673.11561487,11.4867177302
47.0,2664.35202261,8.74322304142
48.0,2658.4616954,8.48479949261
49.0,2662.59255094,46.3314536401
50.0,2644.7808162,8.94681656674
51.0,2645.05191784,10.9640660524
52.0,2635.42264084,9.39064239359
53.0,2642.76753583,50.504027802
54.0,2628.54022403,10.4732032887
55.0,2616.74331307,9.56419677106
56.0,2630.28533164,70.8091845404
57.0,2608.04920414,10.6515784359
58.0,2601.67803316,10.4319236464
59.0,2616.44970295,68.7677379046
60.0,2620.49512558,84.1073744886
61.0,2585.63421948,8.8459193976
62.0,2591.50579193,36.4505440601
63.0,2574.77664137,8.7227946553
64.0,2581.60057991,59.2144048029
65.0,2578.67843719,45.816334806
66.0,2581.61699774,68.8158308222
67.0,2578.68803946,72.1881003757
68.0,2557.60355281,11.927248307
69.0,2559.44236128,54.6506854483
70.0,2556.70359318,53.2761740324
71.0,2542.47000299,7.55651837276
72.0,2555.84105583,73.8883621206
73.0,2556.28149459,72.0373125821
74.0,2538.97081869,56.7228948406
75.0,2566.96124368,102.212448231
76.0,2526.42580261,11.4699546743
77.0,2529.51016941,51.4377156643
78.0,2575.85009272,121.047635481
79.0,2521.58287243,56.4484604923
80.0,2540.50709847,99.9402425997
81.0,2511.72865259,49.3475791626
82.0,2530.6852079,95.3001081337
83.0,2524.85402893,88.2623055492
84.0,2501.56537927,58.6517233403
85.0,2500.31116328,54.0108968392
86.0,2495.5859165,55.9405433648
87.0,2502.02097049,82.9795502703
88.0,2543.28176451,128.494295322
89.0,2484.32691257,55.1376678694
90.0,2493.44846754,76.3868308959
91.0,2491.16363061,86.0235897542
92.0,2499.5693641,100.064335905
93.0,2484.76733747,91.2319697116
94.0,2497.25025559,107.545534539
95.0,2488.64970847,98.0357462689
96.0,2502.19902292,119.569638107
97.0,2470.02387627,85.0927640683
98.0,2490.57510036,118.093996423
99.0,2477.05476781,103.950563525
100.0,2460.96191249,85.1481644916
101.0,2490.37046291,125.022592923
102.0,2475.41600719,112.755296967
103.0,2464.11247231,106.427648272
104.0,2477.86791665,129.962277111
105.0,2505.78778003,154.373936997
106.0,2455.2301488,104.453580944
107.0,2518.90334506,160.713957273
108.0,2471.78192258,132.505478952
109.0,2455.74311544,121.195387126
110.0,2503.73657035,158.141648487
111.0,2488.22838651,154.19832056
112.0,2444.66619243,111.754999441
113.0,2511.16874601,164.809135321
114.0,2429.69760817,116.646807594
115.0,2465.09742543,149.0617976
116.0,2425.47815834,110.066970886
117.0,2458.4464377,144.561274068
118.0,2468.11178745,156.646157237
119.0,2471.62641163,159.542143119
120.0,2440.67623154,137.146457029
121.0,2463.65528239,162.671906898
122.0,2484.32365699,171.749212014
123.0,2456.42421731,157.30405394
124.0,2478.88253461,166.726961428
125.0,2523.52506595,182.066836381
126.0,2448.40538048,160.075486451
127.0,2445.51093004,162.130743801
128.0,2454.95544521,167.568338313
129.0,2417.98621205,143.235724044
130.0,2461.72937689,171.405405568
131.0,2465.50754415,180.320634603
132.0,2436.28674692,162.734411724
133.0,2485.54368763,193.829003944
134.0,2417.82680015,154.432677259
135.0,2462.68028686,182.024085166
136.0,2427.24606839,168.827565916
137.0,2451.76063482,186.176356183
138.0,2394.264247,149.127222906
139.0,2491.37551832,198.082056426
140.0,2481.86364156,197.260208492
141.0,2463.13924516,186.661365107
142.0,2502.93451625,194.559374068
143.0,2450.91571036,186.334271699
144.0,2404.18232157,166.767380856
145.0,2489.83894094,205.088028238
146.0,2444.40584634,193.336386893
147.0,2426.41837415,185.366373048
148.0,2517.05612377,199.149337701
149.0,2488.3679742,205.20615143
150.0,2552.0286818,195.164754539
151.0,2493.14912746,203.183888901
152.0,2515.99746879,198.203807429
153.0,2484.73705528,200.849887044
154.0,2519.08568374,208.851341463
155.0,2493.10362638,211.546485173
156.0,2457.85608785,205.261755649
157.0,2472.0062176,206.907686831
158.0,2469.35920504,204.183846863
159.0,2482.38363855,209.595325175
160.0,2492.07530928,206.875562587
161.0,2487.61136152,205.228105056
162.0,2503.11610335,206.605039208
163.0,2543.06978969,197.357489124
164.0,2510.31912178,205.485314782
165.0,2471.51258188,213.388905582
166.0,2476.12511706,212.341747633
167.0,2533.44717973,199.74502971
168.0,2560.86382793,185.788290198
169.0,2489.34312451,206.647274564
170.0,2502.88974872,211.370270681
171.0,2587.44907987,176.564163523
172.0,2475.67592756,214.726834745
173.0,2466.01734614,211.012958372
174.0,2508.194001,206.860857908
175.0,2528.5485967,206.438494572
176.0,2484.94021247,219.361388204
177.0,2520.61362482,204.501750409
178.0,2464.52001033,217.455005154
179.0,2485.19458774,209.597122563
180.0,2515.38782287,204.236164172
181.0,2430.87275493,223.260127586
182.0,2483.59955463,213.582498956
183.0,2406.21734093,215.666268332
184.0,2528.23782388,197.352260887
185.0,2524.83773129,203.261285048
