K,Mean WC-SSD,Med WC-SSD
2.0,3187.86889674,3169.25700329
3.0,3121.00455058,3125.6640205
4.0,3069.29440686,3061.70815374
5.0,3027.51614145,3013.62892165
6.0,2992.1444553,2988.21676459
7.0,2971.18100994,2970.05400912
8.0,2948.22164773,2946.45112743
9.0,2932.95499922,2931.87241783
10.0,2910.77998755,2908.96675562
11.0,2898.68411673,2898.48501128
12.0,2879.76574286,2876.9858492
13.0,2867.10178187,2863.80089584
14.0,2855.24639526,2852.31274761
15.0,2836.44252573,2833.7654079
16.0,2822.99703184,2822.09589117
17.0,2814.12382467,2812.94095269
18.0,2804.00564052,2798.74606526
19.0,2787.09935068,2784.17955579
20.0,2783.05413691,2777.69672203
21.0,2770.00202106,2764.38570395
22.0,2754.75230584,2752.02568958
23.0,2746.37537141,2744.36230583
24.0,2735.92169457,2733.9581735
25.0,2727.08672554,2725.73061492
26.0,2716.09807179,2716.37398467
27.0,2711.54032365,2710.17037592
28.0,2702.22372818,2696.6645478
29.0,2694.64751731,2691.03169052
30.0,2685.27567764,2681.57594078
31.0,2673.14457391,2669.71912354
32.0,2670.17736337,2665.94007666
33.0,2661.33956928,2656.65943252
34.0,2653.04489727,2652.31385606
35.0,2644.94839516,2642.20425545
36.0,2639.91630735,2640.44536437
37.0,2634.7274883,2631.84575869
38.0,2625.36528708,2622.70325392
39.0,2615.96640722,2614.8284413
40.0,2613.18025709,2611.69453206
41.0,2603.61878448,2601.49227126
42.0,2598.9693062,2598.53476408
43.0,2594.66462785,2593.90115275
44.0,2587.94290891,2581.93077588
45.0,2583.83153611,2582.74779457
46.0,2577.57962269,2575.45819815
47.0,2572.54426528,2571.98834023
48.0,2566.89986024,2565.50395596
49.0,2568.16165029,2563.6405013
50.0,2559.79614945,2555.30845284
51.0,2551.23800484,2550.91204913
52.0,2546.29312096,2542.8873564
53.0,2547.62060222,2543.85426352
54.0,2540.12277926,2535.04749425
55.0,2531.3030644,2528.50429863
56.0,2529.16371297,2529.53779561
57.0,2526.40472664,2523.24306041
58.0,2523.15309533,2522.8497243
59.0,2523.13331464,2520.60335948
60.0,2521.96886859,2514.60237812
61.0,2515.05681574,2508.67165346
62.0,2510.27579729,2509.53231646
63.0,2507.95118946,2500.9647513
64.0,2507.62634445,2500.85709431
65.0,2506.32652402,2501.53514547
66.0,2497.58367283,2493.68362866
67.0,2490.78779128,2491.00316336
68.0,2498.90212175,2490.04407359
69.0,2487.18144065,2480.90851417
70.0,2484.39327714,2482.70114475
71.0,2489.68942703,2481.34484055
72.0,2483.10184716,2485.00118624
73.0,2473.45952925,2470.77553888
74.0,2482.60571706,2474.60742471
75.0,2479.33637001,2472.34371733
76.0,2479.7417814,2468.96232866
77.0,2473.1054499,2467.73436217
78.0,2474.04438643,2463.99292886
79.0,2474.74193605,2466.21329007
80.0,2458.53259793,2461.48301795
81.0,2460.47658757,2458.5095873
82.0,2462.43447941,2451.52942482
83.0,2465.18065505,2458.48021747
84.0,2457.51531259,2452.68683685
85.0,2450.90199196,2446.99436914
86.0,2460.66478776,2449.90688592
87.0,2450.72775292,2447.31236847
88.0,2450.11566138,2444.68092033
89.0,2452.9578605,2446.01286596
90.0,2451.36866587,2443.0859954
91.0,2443.61498234,2436.49612136
92.0,2451.08373727,2442.11078806
93.0,2441.81570939,2439.59623834
94.0,2446.19970526,2439.78552305
95.0,2438.71091539,2434.29606696
96.0,2437.84122679,2433.21948449
97.0,2436.59947967,2429.79863443
98.0,2437.39760328,2428.79334048
99.0,2427.4546265,2428.02845721
100.0,2424.9725623,2421.9198583
101.0,2429.78075783,2424.23468148
102.0,2422.94565717,2414.32618284
103.0,2428.25930416,2422.33610262
104.0,2425.36486332,2423.12536633
105.0,2429.93203428,2425.82323375
106.0,2427.42188411,2418.45255876
107.0,2425.38694813,2416.21548108
108.0,2414.44006087,2415.4493218
109.0,2415.13816494,2405.72836274
110.0,2416.53238411,2410.59679239
111.0,2413.11383973,2410.72231053
112.0,2415.50606683,2401.92522131
113.0,2416.4739192,2410.3451694
114.0,2409.1604646,2401.8379535
115.0,2401.40254766,2397.99367175
116.0,2406.56736335,2399.33744169
117.0,2393.7136644,2391.41088026
118.0,2393.34266059,2390.77749236
119.0,2391.08536114,2383.39071108
120.0,2391.44078538,2381.4438379
121.0,2387.16799244,2382.08134348
122.0,2381.84779949,2379.03077248
123.0,2386.50571036,2376.31303452
124.0,2380.9670881,2372.53709477
125.0,2375.86670524,2372.25110499
126.0,2375.53770759,2369.17466618
127.0,2370.14863417,2362.4484737
128.0,2367.97417694,2359.91008688
129.0,2377.41096314,2359.98298333
130.0,2367.34927112,2358.83622992
131.0,2363.20301486,2352.14244437
132.0,2355.49119697,2354.12337693
133.0,2359.52733164,2350.25864961
134.0,2352.28609894,2344.0617768
135.0,2355.8461715,2341.29953154
136.0,2348.81082406,2340.47553746
137.0,2344.64506167,2334.4885474
138.0,2349.61651707,2336.33951192
139.0,2345.69985091,2331.24118995
140.0,2343.62680735,2330.67865378
141.0,2334.37819172,2329.68425548
142.0,2329.33568273,2327.75041981
143.0,2337.13090008,2326.06094863
144.0,2335.32973823,2319.39717998
145.0,2323.05699354,2317.73083572
146.0,2328.14241443,2319.55813267
147.0,2327.28411105,2313.91259347
148.0,2321.06679183,2310.31285319
149.0,2318.18346792,2303.86746505
150.0,2318.72448386,2307.52110874
