K,Mean-WC-SSD,STD-WC-SSD
2.0,3265.26891528,23.0766401411
3.0,3204.39094455,24.5761950852
4.0,3157.80909854,24.906858079
5.0,3123.8807736,19.9404385179
6.0,3096.40371866,13.3876535432
7.0,3079.04583152,13.9212821429
8.0,3058.61940435,12.5109914078
9.0,3040.29632104,14.2388768435
10.0,3023.07393387,11.3995411344
11.0,3009.33900683,13.8927778556
12.0,3000.69989733,14.1665486797
13.0,2984.81860197,13.4393004489
14.0,2971.5630122,12.857492362
15.0,2964.3500788,16.3832303616
16.0,2949.56609553,13.2412945329
17.0,2942.4308645,17.3111650456
18.0,2930.90493304,15.2150850706
19.0,2921.136235,17.235428981
20.0,2913.94138376,17.6678350465
21.0,2903.99206798,15.3590925814
22.0,2895.28014721,14.9704201869
23.0,2888.40424638,17.8541734966
24.0,2879.38785269,16.2523043295
25.0,2872.33781304,16.6102774332
26.0,2861.59136455,13.4441175472
27.0,2857.25125937,15.6032270253
28.0,2852.6222689,21.3501597601
29.0,2845.033562,14.4779803506
30.0,2838.4035281,20.5537492336
31.0,2833.84955647,17.6565540042
32.0,2830.06010816,19.0346966252
33.0,2823.25370406,17.0189852838
34.0,2816.44857583,18.253447178
35.0,2810.22760802,20.9610990016
36.0,2807.87624391,16.9282408913
37.0,2800.37480607,18.2112064196
38.0,2795.83137656,20.4410325872
39.0,2788.91939082,17.6348252845
40.0,2785.27649474,19.0701684422
41.0,2782.35760293,18.316780016
42.0,2782.01444679,19.8191306434
43.0,2772.24304206,19.0454590668
44.0,2770.76582439,20.4932042263
45.0,2768.88157275,18.5703361203
46.0,2761.75263064,17.1181988616
47.0,2758.55174408,18.3296566649
48.0,2751.95495419,17.2310029958
49.0,2753.59906698,20.3837139778
50.0,2746.95886645,19.931754713
51.0,2743.00952607,19.5829333005
52.0,2741.46904479,19.6002421436
53.0,2739.68395768,21.2239820212
54.0,2741.19944722,20.8696829873
55.0,2733.1934455,19.0792009631
56.0,2730.80863896,20.0848889938
57.0,2730.02693411,22.4886259683
58.0,2725.22929082,17.2961393007
59.0,2722.40567325,18.6911844751
60.0,2720.20723979,19.7173899758
61.0,2718.6991223,20.3158096001
62.0,2717.49376373,25.327685644
63.0,2710.39570619,21.3504007862
64.0,2710.23710877,22.7182351131
65.0,2713.81342525,22.352309794
66.0,2702.61185258,19.0295376437
67.0,2704.76015078,20.5173829821
68.0,2703.19368341,20.5042349949
69.0,2703.42508661,21.1199702133
70.0,2702.28915984,20.9460476531
71.0,2700.83303957,22.3005821476
72.0,2695.5621169,20.3002771445
73.0,2698.09746311,21.3593207819
74.0,2696.5310565,20.522376479
75.0,2694.54529358,20.6557870731
76.0,2692.13298266,20.6392175722
77.0,2687.59497618,22.8725259727
78.0,2686.79551806,21.8289759531
79.0,2684.99045868,22.7937940709
80.0,2682.460566,21.8664869677
81.0,2682.74991877,23.8441327755
82.0,2683.19093531,23.8190542993
83.0,2677.80924147,19.2190794372
84.0,2676.87348381,18.076170864
85.0,2679.20252414,22.6252481661
86.0,2678.97696255,21.7686960032
