K,WCSSD-Mean,WCSSD-Std-Dev,Purity,NMI
2,3186.86842869,9.09494701773e-13,0.238476953908,0.193108168496
3,3123.62897863,3.72201392365,0.279702261666,0.178796925292
4,3116.42041602,3.9841676729,0.293444030919,0.168275310461
5,3083.0100861,11.1302539753,0.321500143143,0.211536985121
6,3051.27590449,8.14375011045,0.347265960492,0.237125885951
7,3036.89678738,8.76020649305,0.325794446035,0.203249168945
8,3010.31270927,9.3751244469,0.37389063842,0.229754263029
9,2985.03643341,28.3462055532,0.385342112797,0.221684127041
10,2984.38287646,25.0269099714,0.360148869167,0.217148253457
11,2956.22706294,13.9068130076,0.381047809906,0.221847373856
12,2950.86792867,10.9411357959,0.377326080733,0.221990726051
13,2924.88287262,13.0461251234,0.377326080733,0.220059519445
14,2928.74765343,36.7243466966,0.403378184941,0.236706718813
15,2916.24386413,33.9257891397,0.387059833954,0.21682146329
16,2908.6939317,34.0799944239,0.391067849986,0.213676406706
17,2882.54427779,18.0884695102,0.387632407672,0.223676214902
18,2865.01849035,10.2507534778,0.411966790724,0.219133469152
19,2866.0310321,47.773443164,0.404809619238,0.221522524089
20,2863.02197973,38.8817113138,0.402233037504,0.208973165916
21,2851.73632261,46.4383577282,0.405668479817,0.26308617599
22,2870.469103,60.5220732406,0.417978814772,0.271087251861
23,2835.64557303,52.4137418807,0.406813627255,0.250129923134
24,2829.74258759,57.2364469856,0.411680503865,0.25109496942
25,2860.77269386,69.2251049896,0.413398225021,0.265470964937
26,2868.09876288,68.2188410362,0.410249069568,0.247086583137
27,2808.00551307,61.698812349,0.417692527913,0.249901006216
28,2841.97278439,71.7414593466,0.409390208989,0.260233656582
29,2870.22875894,58.1218990149,0.418837675351,0.260516763759
30,2859.8926112,68.6049753183,0.420555396507,0.25956812852
31,2825.82434674,72.9170693653,0.419696535929,0.259024449594
32,2812.25612731,68.0358492515,0.412539364443,0.252683823803
33,2792.61029603,82.3926150241,0.42427712568,0.25492378891
34,2778.60143034,82.5089765596,0.425422273118,0.26906876676
35,2839.92850448,80.0775938631,0.420841683367,0.256463945622
36,2830.85098602,73.0792651133,0.423704551961,0.276733935002
37,2812.08852095,86.4595530225,0.425135986258,0.27582792384
38,2851.74306308,23.2647166256,0.384196965359,0.262399281225
39,2813.02986502,63.5961688679,0.441454337246,0.264242371653
40,2827.33177609,74.1129353382,0.427426281134,0.25087590749
41,2830.46813098,79.4504739179,0.432006870885,0.247920978871
42,2844.41648858,61.6834556139,0.421700543945,0.247442983588
43,2819.65730618,53.8045254539,0.433724592041,0.260442894492
44,2833.95347048,32.1638822082,0.393071858002,0.256533389387
45,2773.09896225,79.742952897,0.425135986258,0.268119752722
46,2816.32501357,65.3302978638,0.426567420555,0.253503057999
47,2798.39819638,83.7432202851,0.443172058403,0.247428226671
48,2796.47337305,68.6213322817,0.42914400229,0.260522288236
49,2817.48026297,28.3714621937,0.383338104781,0.267809652533
50,2798.93999699,57.2366499929,0.435442313198,0.263340634637
51,2814.11602591,30.5385848197,0.406813627255,0.262719527157
52,2783.53859939,63.0827050137,0.442599484684,0.262547430012
53,2786.45074016,37.7691025292,0.400229029488,0.258994080328
54,2790.63257525,35.5701920493,0.40395075866,0.247152045421
55,2767.95850998,64.3057656518,0.431720584025,0.25674081728
56,2779.368389,21.3535346231,0.390495276267,0.247891510769
57,2764.57642769,21.2760650786,0.398225021472,0.253194161773
58,2767.28083347,29.0022385253,0.408531348411,0.250305508595
59,2762.94939114,24.523873072,0.408531348411,0.253067371933
60,2759.56291792,30.5677499258,0.400801603206,0.253431640529
61,2751.39227677,53.1561494476,0.402519324363,0.251137513035
62,2717.81644846,73.0262515505,0.426853707415,0.254189507172
63,2740.76474538,31.3808197351,0.418837675351,0.257918392628
64,2764.86381729,28.9401002197,0.409676495849,0.253089753817
65,2752.27123434,27.8017289331,0.40910392213,0.256535748579
66,2749.007866,18.6921994829,0.400229029488,0.260130080245
67,2736.29251821,34.4866854903,0.417692527913,0.265003952932
68,2749.534193,21.8361059229,0.410535356427,0.260320036681
69,2743.65467334,32.812864217,0.406241053536,0.261325024832
