K,WC-SSD,SC
2.0,3161.37164943,0.0440330374143
3.0,3064.7405532,0.0600599316458
4.0,3125.403398,0.0435476188705
5.0,3003.79537136,0.0610621600463
6.0,3001.73968691,0.0699918433224
7.0,2997.36048441,0.0607312295458
8.0,2933.75712756,0.0745114481584
9.0,2921.96341931,0.0658695867829
10.0,2937.78223792,0.0702921854439
11.0,2913.78470458,0.0733255649676
12.0,2879.01556794,0.0762107318935
13.0,2857.3278707,0.0753333196023
14.0,2880.49376571,0.0530105841307
15.0,2837.21106139,0.0749073548999
16.0,2829.02157035,0.0739842144784
17.0,2800.90201657,0.0785819940897
18.0,2828.47196467,0.0695591297216
19.0,2791.18752567,0.0843245844293
20.0,2793.22610197,0.0936429904259
21.0,2758.77263696,0.0795205114745
22.0,2775.07367827,0.0774404796741
23.0,2782.57253944,0.0586500117526
24.0,2741.01729418,0.0746103787502
25.0,2763.60507761,0.0492054381716
26.0,2715.10304128,0.0697666995858
27.0,2750.20447725,0.061778611198
28.0,2739.10210775,0.0697004476441
29.0,2738.08249769,0.0583338498767
30.0,2733.23205448,0.0741355848957
31.0,2737.25695218,0.0566351015945
32.0,2720.34494022,0.069787096799
33.0,2703.03148427,0.0723922348334
34.0,2733.22689874,0.0462150795421
35.0,2711.56842017,0.060632671615
36.0,2714.99336671,0.0400613933076
37.0,2659.48297237,0.0425916370229
38.0,2717.2590884,0.034038356001
39.0,2662.19431383,0.0744306534486
40.0,2734.22422165,-0.00486944247645
41.0,2627.37041042,0.071279398787
42.0,2685.38936465,0.0599568527559
43.0,2701.54487008,0.0641148722567
44.0,2708.54666747,0.0605155523921
45.0,2621.16743228,0.0481424154502
46.0,2650.23731843,0.0705014769631
47.0,2618.58122624,0.0714827136728
48.0,2617.15194633,0.0768754492621
49.0,2669.76707632,0.059078073732
50.0,2600.76813377,0.0570247484957
